,Company Size,Revenue,Geo Location,Industry,Company Name,Street Address,City,Postal Code,Country/Region,Phone Number,fit_score,fit_score_rank
13,749.5,50000000,MI,Education - Higher,Kent Intermediate School District,2930 Knapp Street Ne,Grand Rapids,49525,United States,(616) 364-1333,0,21
14,749.5,55000000,CA,Education - Higher,San Luis Coastal Unified School District,1500 Lizzie Street,San Luis Obispo,93401,United States,(805) 549-1200,0,21
15,7499.5,60000000,CA,Media and Internet,Activision Blizzard,3100 Ocean Park Blvd,Santa Monica,90405,United States,(310) 255-2000,0,21
16,7499.5,65000000,TX,Finance,Cliftonlarsonallen,9300 Wade Blvd #101,Frisco,75035,United States,(612) 376-4500,0,21
17,2999.5,70000000,TX,Education - Higher,"California State University, Dominguez Hills",1000 E Victoria St,Carson,90747,United States,(310) 243-3696,0,21
18,2999.5,75000000,WA,Retail and Wholesale,Henry Schein,19717 62Nd Avenue South,St Paul,98032,United States,(631) 843-5500,0,21
19,2999.5,80000000,TX,Consumer Goods,Interstate Batteries,12770 Merit Dr Suite 1000,Dallas,75251,United States,(972) 991-1444,0,21
20,10000,85000000,TX,Retail and Wholesale,7-Eleven Inc,3200 Hackberry Rd,Irving,75063,United States,(972) 828-0711,0,21
21,10000,90000000,NJ,Retail and Wholesale,"Advance Auto Parts, Inc.",1072 U S 9,Parlin,8859,United States,(732) 479-4831,0,21
22,10000,95000000,PA,Healthcare and Pharmaceuticals,Amerisourcebergen,1300 Morris Drive,Chesterbrook,19087,United States,(610) 727-7319,0,21
23,10000,100000000,CA,Manufacturing,Applied Materials,3050 Bowers Avenue,Santa Clara,95054,United States,(408) 235-6589,0,21
24,10000,105000000,MO,Retail and Wholesale,Bass Pro Shops,2500 E Kearney Street,Springfield,65803,United States,(417) 873-4402,0,21
25,10000,110000000,FL,Retail and Wholesale,Beall's,1806 38Th Avenue E,Bradenton,34208,United States,(941) 744-4196,0,21
26,10000,115000000,MN,Retail and Wholesale,Best Buy,7601 Penn Avenue S,Richfield,55423,United States,(612) 291-1000,0,21
27,10000,120000000,PA,Finance,Bny Mellon,500 Grant St,Pittsburgh,15219,United States,(412) 923-4657,0,21
28,10000,125000000,MO,IT Software,Cerner Corporation,2800 Rockcreek Parkway,North Kansas City,64117,United States,(816) 221-1024,0,21
29,10000,130000000,OH,Finance,Charles Schwab,20 Springside Drive,Akron,44333,United States,(330) 908-4770,0,21
30,10000,135000000,CT,Telecommunications,Charter Communications,400 Atlantic Street,Stamford,6901,United States,(314) 388-8240,0,21
31,10000,140000000,CT,Healthcare and Pharmaceuticals,Cigna,900 Cottage Grove Road,Bloomfield,6002,United States,(860) 226-6000,0,21
32,10000,145000000,MI,Manufacturing,Continental Automotive Systems,1 Continental Drive,Auburn Hills,48326,United States,(248) 393-5450,0,21
33,10000,150000000,GA,Telecommunications,Cox Communications,6305-A Peachtree Dunwoody Road,Atlanta,30319,United States,(678) 645-0000,0,21
34,10000,155000000,TX,Retail and Wholesale,Gamestop,625 Westport Parkway,Grapevine,76051,United States,(817) 424-2000,0,21
35,10000,160000000,MI,Manufacturing,General Motors,300 Renaissance Center,Detroit,48243,United States,(313) 667-4786,0,21
36,10000,165000000,MA,IT Hardware,Iron Mountain,1 Federal St,Boston,2110,United States,(323) 308-5198,0,21
37,10000,170000000,WI,Manufacturing,Johnson Controls,5757 N Green Bay Avenue,Glendale,53209,United States,(414) 524-1200,0,21
38,10000,175000000,NC,Retail and Wholesale,"Lowe's Companies, Inc.",509 River Hwy,Mooresville,28117,United States,(704) 660-7177,0,21
39,10000,180000000,CA,Media and Internet,Nbcuniversal,100 Universal Plaza,Universal,91608,United States,(212) 664-4000,0,21
40,10000,185000000,OH,IT Hardware,Ncr,1700 S Patterson Boulevard,Dayton,45409,United States,(937) 445-1936,0,21
41,,90219512.19512194,nan,nan,,,,,,,,
42,,90219512.19512194,nan,nan,,,,,,,,
43,,90219512.19512194,nan,nan,,,,,,,,
