Company Size,Revenue,Geo Location,Industry,Company Name,Street Address,City,Postal Code,Country/Region,Phone Number
500 - 999,"$50,000,000 ",MI,Education - Higher,Kent Intermediate School District,2930 Knapp Street Ne,Grand Rapids,49525,United States,(616) 364-1333
500 - 999,"$55,000,000 ",CA,Education - Higher,San Luis Coastal Unified School District,1500 Lizzie Street,San Luis Obispo,93401,United States,(805) 549-1200
5000 - 9999,"$60,000,000 ",CA,Media and Internet,Activision Blizzard,3100 Ocean Park Blvd,Santa Monica,90405,United States,(310) 255-2000
5000 - 9999,"$65,000,000 ",TX,Finance,Cliftonlarsonallen,9300 Wade Blvd #101,Frisco,75035,United States,(612) 376-4500
1000 - 4999,"$70,000,000 ",TX,Education - Higher,"California State University, Dominguez Hills",1000 E Victoria St,Carson,90747,United States,(310) 243-3696
1000 - 4999,"$75,000,000 ",WA,Retail and Wholesale,Henry Schein,19717 62Nd Avenue South,St Paul,98032,United States,(631) 843-5500
1000 - 4999,"$80,000,000 ",TX,Consumer Goods,Interstate Batteries,12770 Merit Dr Suite 1000,Dallas,75251,United States,(972) 991-1444
10000,"$85,000,000 ",TX,Retail and Wholesale,7-Eleven Inc,3200 Hackberry Rd,Irving,75063,United States,(972) 828-0711
10000,"$90,000,000 ",NJ,Retail and Wholesale,"Advance Auto Parts, Inc.",1072 U S 9,Parlin,8859,United States,(732) 479-4831
10000,"$95,000,000 ",PA,Healthcare and Pharmaceuticals,Amerisourcebergen,1300 Morris Drive,Chesterbrook,19087,United States,(610) 727-7319
10000,"$100,000,000 ",CA,Manufacturing,Applied Materials,3050 Bowers Avenue,Santa Clara,95054,United States,(408) 235-6589
10000,"$105,000,000 ",MO,Retail and Wholesale,Bass Pro Shops,2500 E Kearney Street,Springfield,65803,United States,(417) 873-4402
10000,"$110,000,000 ",FL,Retail and Wholesale,Beall's,1806 38Th Avenue E,Bradenton,34208,United States,(941) 744-4196
10000,"$115,000,000 ",MN,Retail and Wholesale,Best Buy,7601 Penn Avenue S,Richfield,55423,United States,(612) 291-1000
10000,"$120,000,000 ",PA,Finance,Bny Mellon,500 Grant St,Pittsburgh,15219,United States,(412) 923-4657
10000,"$125,000,000 ",MO,IT Software,Cerner Corporation,2800 Rockcreek Parkway,North Kansas City,64117,United States,(816) 221-1024
10000,"$130,000,000 ",OH,Finance,Charles Schwab,20 Springside Drive,Akron,44333,United States,(330) 908-4770
10000,"$135,000,000 ",CT,Telecommunications,Charter Communications,400 Atlantic Street,Stamford,6901,United States,(314) 388-8240
10000,"$140,000,000 ",CT,Healthcare and Pharmaceuticals,Cigna,900 Cottage Grove Road,Bloomfield,6002,United States,(860) 226-6000
10000,"$145,000,000 ",MI,Manufacturing,Continental Automotive Systems,1 Continental Drive,Auburn Hills,48326,United States,(248) 393-5450
10000,"$150,000,000 ",GA,Telecommunications,Cox Communications,6305-A Peachtree Dunwoody Road,Atlanta,30319,United States,(678) 645-0000
10000,"$155,000,000 ",TX,Retail and Wholesale,Gamestop,625 Westport Parkway,Grapevine,76051,United States,(817) 424-2000
10000,"$160,000,000 ",MI,Manufacturing,General Motors,300 Renaissance Center,Detroit,48243,United States,(313) 667-4786
10000,"$165,000,000 ",MA,IT Hardware,Iron Mountain,1 Federal St,Boston,2110,United States,(323) 308-5198
10000,"$170,000,000 ",WI,Manufacturing,Johnson Controls,5757 N Green Bay Avenue,Glendale,53209,United States,(414) 524-1200
10000,"$175,000,000 ",NC,Retail and Wholesale,"Lowe's Companies, Inc.",509 River Hwy,Mooresville,28117,United States,(704) 660-7177
10000,"$180,000,000 ",CA,Media and Internet,Nbcuniversal,100 Universal Plaza,Universal,91608,United States,(212) 664-4000
10000,"$185,000,000 ",OH,IT Hardware,Ncr,1700 S Patterson Boulevard,Dayton,45409,United States,(937) 445-1936
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
